ifo Geschäftsklima Deutschland und seine Komponenten;;;;;;;;
(seit Januar 2005);;;;;;;;
Lange Zeitreihen für das ifo Geschäftsklima Deutschland;;;;;;;;
und seine beiden Komponenten Geschäftslage und -erwartungen ;;;;;;;;
;;;;;;;;
;Deutschland;;;;;;;
;Indexwerte, 2015 = 100, saisonbereinigt;;;Salden, saisonbereinigt;;;ifo Geschäftsunsicherheit;ifo Konjunkturampel
Monat/Jahr; Geschäftsklima;Geschäftslage;Geschäftserwartungen; Geschäftsklima;Geschäftslage;Geschäftserwartungen;Ursprungswerte ab 04/2019;Wahrscheinlichkeit für eine expansive Entwicklung in %
;;;;;;;;
 10/2023;87,0;89,2;84,8;-9,9;3,3;-22,1;66,0;42,2
 11/2023;87,3;89,5;85,2;-9,1;3,9;-21,3;65,8;54,9
 12/2023;86,9;88,6;85,1;-10,2;1,9;-21,5;65,5;33,0
 01/2024;85,7;87,0;84,4;-12,7;-1,8;-23,0;67,5;14,8
 02/2024;85,8;87,0;84,6;-12,5;-1,8;-22,6;66,8;26,6
 03/2024;87,8;88,1;87,5;-8,1;0,7;-16,4;65,9;81,3
 04/2024;89,0;88,8;89,3;-5,4;2,3;-12,7;65,3;93,6
 05/2024;88,9;88,3;89,5;-5,8;1,1;-12,4;65,0;85,4
 06/2024;88,2;88,2;88,1;-7,3;1,1;-15,4;65,1;64,7
 07/2024;86,9;87,0;86,8;-10,0;-1,7;-18,0;64,5;23,1
 08/2024;86,5;86,4;86,6;-11,0;-3,3;-18,5;64,8;20,8
 09/2024;85,5;84,4;86,6;-13,2;-7,8;-18,4;65,7;9,4
 10/2024;86,5;85,7;87,3;-10,9;-4,7;-16,9;66,2;40,0
 11/2024;85,7;84,2;87,2;-12,7;-8,1;-17,2;65,9;23,2
 12/2024;85,0;85,1;84,8;-14,3;-6,2;-22,1;66,6;13,0
 01/2025;85,5;86,1;84,9;-13,2;-3,9;-22,0;65,5;26,9
